country_code,postal_code,latitude,longitude,region_id
che,1405,6.6695,46.7593,VD::Pomy::1405
che,1406,6.6964,46.7571,VD::Cronay::1406
che,1407,6.7139,46.7401,VD::Donneloye;Bioley-Magnoux::Bioley-Magnoux||Donneloye||Gossens||Mézery-près-Donneloye
che,1408,6.7402,46.7353,VD::Donneloye::Prahins
che,1409,6.7427,46.7296,VD::Montanaire::Chanéaz
che,1410,6.7608,46.7111,FR;VD::Prévondavaux;Montanaire::Prévondavaux||Thierrens||Correvon||Denezy||St-Cierges
che,1412,6.6619,46.7408,VD::Ursins||Valeyres-sous-Ursins
che,1413,6.6837,46.7214,VD::Orzens::1413
che,1415,6.7525,46.7536,VD::Démoret||Molondin
che,1416,6.6725,46.6993,VD::Pailly::1416
che,1417,6.6406,46.7289,VD::Essertines-sur-Yverdon::Essertines-sur-Yverdon||Epautheyres
che,1418,6.6482,46.6872,VD::Vuarrens::1418
che,1420,6.6236,46.8263,VD::Fiez::1420
che,1421,6.6128,46.8369,VD::Fontaines-sur-Grandson||Grandevent
che,1422,6.6436,46.8083,VD::Grandson::1422
che,1423,6.6394,46.8494,VD::Tévenon::Villars-Burquin||Fontanezier||Romairon||Vaugondry
che,1424,6.6582,46.8305,VD::Champagne::1424
che,1425,6.6861,46.8385,VD::Onnens (VD)::Onnens VD
che,1426,6.7138,46.8485,VD::Concise||Corcelles-près-Concise
che,1427,6.6724,46.84,VD::Bonvillars::1427
che,1428,6.7269,46.8866,VD::Mutrux||Provence
che,1429,6.6164,46.8096,VD::Giez::1429
che,1430,6.5886,46.808,VD::Orges::1430
che,1431,6.5872,46.8262,VD::Novalles||Vugelles-La Mothe
che,1432,6.6297,46.7468,VD::Yverdon-les-Bains;Belmont-sur-Yverdon::Belmont-sur-Yverdon||Gressy
che,1433,6.599,46.7225,VD::Suchy::1433
che,1434,6.6085,46.7451,VD::Ependes (VD)::Ependes VD
che,1435,6.5839,46.7278,VD::Chavornay::Essert-Pittet
che,1436,6.608,46.7763,VD::Chamblon||Treycovagnes
che,1437,6.578,46.7642,VD::Suscévaz::1437
che,1438,6.5673,46.7668,VD::Mathod::1438
che,1439,6.5309,46.7612,VD::Rances::1439
che,1441,6.6089,46.7989,VD::Valeyres-sous-Montagny::1441
che,1442,6.6123,46.793,VD::Montagny-près-Yverdon::1442
che,1443,6.581,46.7877,VD::Champvent::Champvent||Essert-sous-Champvent||Villars-sous-Champvent
che,1445,6.5499,46.8071,VD::Vuiteboeuf::1445
che,1446,6.5183,46.7909,VD::Baulmes::1446
che,1450,6.5115,46.8188,VD::Sainte-Croix::Ste-Croix||La Sagne (Ste-Croix)||Le Château-de-Ste-Croix
che,1452,6.5402,46.8292,VD::Bullet::Les Rasses
che,1453,6.5858,46.8431,VD::Bullet||Mauborget
che,1454,6.4728,46.8299,VD::Sainte-Croix::L'Auberson||La Vraconnaz
che,1462,6.7451,46.7982,VD::Yvonand::1462
che,1463,6.7652,46.7845,VD::Rovray::1463
che,1464,6.773,46.7741,VD::Chavannes-le-Chêne||Chêne-Pâquier
che,1468,6.7871,46.8142,FR::Cheyres-Châbles::Cheyres
che,1470,6.8386,46.8285,FR::Lully (FR);Estavayer::Lully FR||Seiry||Bollion||Estavayer-le-Lac
che,1473,6.8239,46.8346,FR::Estavayer;Châtillon (FR)::Châtillon FR||Font
che,1474,6.8094,46.8262,FR::Cheyres-Châbles::Châbles FR
che,1475,6.8838,46.8648,FR::Estavayer::Autavaux||Forel FR||Montbrelloz
che,1482,6.8931,46.8149,FR::Cugy (FR)::Cugy FR
che,1483,6.8683,46.8168,FR::Les Montets;Cugy (FR)::Vesin||Montet (Broye)||Frasses
che,1484,6.8456,46.8067,FR::Les Montets::Aumont||Granges-de-Vesin
che,1485,6.8306,46.7841,FR::Nuvilly::1485
che,1486,6.7658,46.738,FR::Estavayer::Vuissens
che,1489,6.8073,46.7904,FR::Estavayer::Murist
che,1509,6.7739,46.6225,VD::Vucherens::1509
che,1510,6.7889,46.6571,VD::Moudon||Syens
che,1512,6.8084,46.6571,VD::Chavannes-sur-Moudon::1512
che,1513,6.7666,46.6478,VD::Hermenches||Rossenges
che,1514,6.8111,46.6867,VD::Bussy-sur-Moudon::1514
che,1515,6.7934,46.7042,VD::Villars-le-Comte;Montanaire::Villars-le-Comte||Neyruz-sur-Moudon
che,1521,6.8476,46.7027,VD::Curtilles::1521
che,1522,6.8231,46.7074,VD::Lucens::Lucens||Oulens-sur-Lucens
che,1523,6.8896,46.7599,VD::Valbroye::Granges-près-Marnand
che,1524,6.9011,46.7561,VD::Valbroye::Marnand
che,1525,6.8813,46.7347,VD::Valbroye;Henniez::Henniez||Seigneux
che,1526,6.8327,46.7265,VD::Lucens::Forel-sur-Lucens||Cremin
che,1527,6.8686,46.746,FR::Surpierre::Villeneuve FR
che,1528,6.8544,46.7398,FR::Surpierre::Surpierre||Praratoud
che,1529,6.8336,46.7493,FR::Cheiry::1529
che,1530,6.9378,46.8207,VD::Payerne::1530
che,1532,6.9155,46.7971,FR::Fétigny::1532
che,1533,6.8814,46.7842,FR::Ménières::1533
che,1534,6.8546,46.7737,FR;VD::Cheiry;Valbroye::Chapelle (Broye)||Sassel
che,1535,6.8182,46.7619,VD::Valbroye::Combremont-le-Grand
che,1536,6.8092,46.7494,VD::Valbroye::Combremont-le-Petit
che,1537,6.7878,46.7602,VD::Champtauroz::1537
che,1538,6.8009,46.7711,VD::Treytorrens (Payerne)::1538
che,1541,6.8908,46.8394,FR::Estavayer;Sévaz::Sévaz||Bussy FR||Morens FR
che,1542,6.9167,46.8596,FR::Estavayer::Rueyres-les-Prés
che,1543,6.9305,46.8719,VD::Grandcour::1543
che,1544,6.9372,46.8952,FR::Gletterens::1544
che,1545,6.9072,46.8876,VD::Chevroux::1545
che,1551,6.9427,46.7964,VD::Payerne::Vers-chez-Perrin
che,1552,6.9259,46.7703,VD::Trey::1552
che,1553,6.9383,46.7541,FR::Châtonnaye::1553
che,1554,6.9276,46.7422,VD::Villarzel::Sédeilles||Rossens VD
che,1555,6.9127,46.7489,VD::Villarzel::1555
che,1562,6.9612,46.8316,VD::Corcelles-près-Payerne::1562
che,1563,6.9886,46.853,FR::Belmont-Broye::Dompierre FR
che,1564,7.0154,46.8648,FR::Belmont-Broye::Domdidier
che,1565,6.9619,46.8826,FR;VD::Vallon||Missy
che,1566,6.9842,46.8967,FR::Saint-Aubin (FR)::St-Aubin FR||Les Friques
che,1567,6.9676,46.9131,FR::Delley-Portalban::Delley
che,1568,6.9555,46.9179,FR::Delley-Portalban::Portalban
che,1580,7.0456,46.87,VD::Avenches::Avenches||Oleyres||Donatyre
che,1583,7.0724,46.8836,FR::Courtepin::Villarepos
che,1584,6.99,46.9055,VD::Vully-les-Lacs::Villars-le-Grand
che,1585,7.024,46.921,VD::Vully-les-Lacs::Salavaux||Bellerive VD||Cotterd
che,1586,7.0387,46.9318,VD::Vully-les-Lacs::Vallamand
che,1587,7.0107,46.9228,VD::Vully-les-Lacs::Montmagny||Constantine
che,1588,7.0196,46.9553,VD::Cudrefin::1588
